Feature1,Feature2,Feature3
61,24,81
70,30,92
96,84,84
97,33,12
31,62,11
97,39,47
11,73,69
30,42,85
67,31,98
58,68,51
69,89,24
71,71,56
71,60,64
73,12,60
16,30,82
48,27,13
98,69,23
18,99,62
11,93,69
80,53,17
56,44,87
90,45,59
13,11,15
63,13,63
72,27,99
53,43,83
71,23,57
24,81,87
96,71,49
94,89,91
62,33,35
98,69,50
38,24,54
74,98,80
18,97,10
17,97,72
20,90,17
44,44,42
14,50,37
16,82,81
21,43,42
57,32,71
97,46,53
95,44,74
56,87,12
10,14,99
23,36,18
88,24,99
51,86,60
72,61,13
32,24,52
38,45,22
41,80,68
95,37,75
51,54,71
66,15,37
37,53,93
39,71,84
98,71,10
36,71,86
12,79,81
36,18,71
46,60,53
33,88,68
41,97,61
71,67,61
21,48,11
12,65,90
68,11,11
63,96,10
28,11,62
53,99,41
79,41,77
64,84,65
26,47,33
78,79,95
20,25,82
68,79,89
12,29,68
45,28,99
76,28,29
80,61,42
49,48,91
10,20,66
98,59,32
40,51,16
25,99,69
11,10,57
21,78,46
41,18,28
57,89,12
29,33,63
42,33,84
81,45,47
93,98,34
27,91,75
63,44,89
70,50,42
77,42,23
30,57,29
